,ranks,ids,names,symbols,type,algorithm,proof,icon,url links,description
21,22,bitshares,BitShares,BTS,Coin,SHA-512,PoS,https://cdn.coinranking.com/B1TCoS_O-/bts.svg,https://bitshares.org,"your share in the decentralized exchange. Built using the latest in industry research, BitShares 2.0 offers a stack of financial services including exchange and banking on a blockchain."
22,23,omisego,OmiseGO,OMG,Token,N/A,PoS,https://cdn.coinranking.com/BJGUoHu_Z/omg.svg,https://omg.omise.co/,"Unbank the Banked with Ethereum. OmiseGO is a public Ethereum-based financial technology for use in mainstream digital wallets, that enables real-time, peer-to-peer value exchange and payment services agnostically across jurisdictions and organizational silos, and across both fiat money and decentralized currencies. Designed to enable financial inclusion and disrupt existing institutions, access will be made available to everyone via the OmiseGO network and digital wallet framework."
23,24,populous,Populous,PPT,Token,N/A,N/A,https://cdn.coinranking.com/HyCw7LOdZ/ppt.svg,http://populous.co/,Invoice discounting for the blockchain era. Rebuilding invoice financing block by block for invoice buyers and sellers.
24,25,hshare,Hshare,HSR,Coin,N/A,PoW/PoS,https://cdn.coinranking.com/HJ6OlzVKW/hsr.svg,https://h.cash/,"The new standard of value. The Hcash platform is designed to be a side chain for both 
block-based and blockless-based blockchains. Hcash will be a value and 
information carrier for major blockchains to enable the exchange of value 
and information between these systems."
25,26,waves,Waves,WAVES,Coin,Leased POS,LPoS,https://cdn.coinranking.com/B1tzRbyMz/waves.svg,https://wavesplatform.com/,"Gain access to˜the Waves platform?s solutions for storing, trading, managing and issuing your digital assets, easily and securely."
26,27,tether,Tether,USDT,Token,N/A,N/A,https://cdn.coinranking.com/SJs1nH_OZ/usdt.svg,https://tether.to,"Digital money for a digital age. Global, fast, and secure. "
27,28,komodo,Komodo,KMD,Coin,Equihash,dPoW/PoW,https://cdn.coinranking.com/SyobU8dOb/kmd.svg,https://komodoplatform.com/,"Complete blockchain solutions. The Komodo Platform focuses on providing complete end-to-end blockchain solutions for developers of any level and any industry. It is simple yet powerful, offering customized blockchain solutions that are easy to deploy, and configurable to meet your needs. Our vision is to build a robust ecosystem of partners and developers, where together we create an environment that accelerates anyone?s journey into blockchain technology."
28,29,ardor,Ardor,ARDR,Token,N/A,PoS,https://cdn.coinranking.com/HyZRH8d_W/ardr.svg,https://www.ardorplatform.org/,"A blockchain platform, scalable for business"
29,30,nxt,Nxt,NXT,Coin,PoS,PoS/LPoS,https://cdn.coinranking.com/rkEsD8u_W/nxt.svg,https://nxt.org/,"Own your data. Control your assets, vote, choices, freedom, name, rights, files, IP, records, trade, market, world, privacy, money, budget."
30,31,stratis,Stratis,STRAT,Coin,X13,PoW/PoS,https://cdn.coinranking.com/SyEuoBu_W/strat.svg,http://stratisplatform.com/,"We make blockchain easy for you. We offer simple and affordable end-to-end solutions for development, testing and deployment of native C# blockchain applications on the .Net framework."
31,32,bytecoin-bcn,Bytecoin,BCN,Coin,CryptoNight,PoW,https://cdn.coinranking.com/rkpGWI_OZ/bcn.svg,https://bytecoin.org/,the first private untraceable cryptocurrency
32,33,augur,Augur,REP,Token,N/A,N/A,https://cdn.coinranking.com/H1GlZLd_Z/rep.svg,http://www.augur.net/,Augur combines the magic of prediction markets with the power of a decentralized network to create a stunningly accurate forecasting tool - and the chance for real money trading profits
33,34,steem,Steem,STEEM,Coin,N/A,PoW,https://cdn.coinranking.com/SkkCsr_OW/steem.svg,https://steem.io/,Steem powers smart media tokens. Steem is a blockchain-based rewards platform for publishers to monetize content and grow community.
34,35,monacoin,MonaCoin,MONA,Coin,Scrypt,PoW,https://cdn.coinranking.com/SkxEgPdd-/mona.svg,http://monacoin.org,"First Japanese cryptocurrency, born in December 2013."
35,36,dogecoin,Dogecoin,DOGE,Coin,Scrypt,PoW,https://cdn.coinranking.com/H1arXIuOZ/doge.svg,http://dogecoin.com/,"Dogecoin is an open source peer-to-peer digital currency, favored by Shiba Inus worldwide. Dogecoin is a decentralized, peer-to-peer digital currency that enables you to easily send money online. Think of it as ""the internet currency."""
36,37,veritaseum,Veritaseum,VERI,Token,N/A,N/A,https://cdn.coinranking.com/SJE0orHtW/veri.svg,http://veritas.veritaseum.com/,"Enables software-driven P2P capital markets without brokerages, banks or traditional exchanges"
37,38,ark,Ark,ARK,Coin,DPoS,DPoS,https://cdn.coinranking.com/HyWBr8_OW/ark.svg,http://ark.io/,"all-in-one blockchain solutions. Point. Click. Blockchain. ARK provides users, developers, and startups with innovative blockchain technologies."
38,39,raiblocks,RaiBlocks,XRB,Coin,#N/A,#N/A,https://cdn.coinranking.com/B1b-YYaWG/xrb.svg,https://raiblocks.net/,RaiBlocks is designed from the ground up forÿscalable instant transactionsÿandÿzero transaction fees.
39,40,siacoin,Siacoin,SC,Coin,Blake2b,PoW,https://cdn.coinranking.com/Hkvu-8d_-/sc.svg,http://sia.tech/,Your decentralized cloud backend. Welcome to a new era of cloud storage on the blockchain.
40,41,status,Status,SNT,Token,N/A,N/A,https://cdn.coinranking.com/B1MQMP__Z/snt.svg,http://status.im/,"A Mobile Ethereum OS. Browse, chat and make payments securely on the decentralized web.  "
41,42,decred,Decred,DCR,Coin,BLAKE256,PoW/PoS,https://cdn.coinranking.com/SyJaBU_dZ/dcr.svg,https://www.decred.org/,Decred is an autonomous digital currency
42,43,electroneum,Electroneum,ETN,Coin,N/A,N/A,#N/A,#N/A,#N/A
43,44,pivx,PIVX,PIVX,Coin,Quark,PoW/PoS,https://cdn.coinranking.com/BknhDIOu-/pivx.svg,http://www.pivx.org,"PIVX, Private Instant Verified Transaction, is a privacy-focused, decentralized, open source cryptocurrency run by a global community run by creators, innovators, and technology enthusiasts."
44,45,binance-coin,Binance Coin,BNB,Token,N/A,N/A,https://cdn.coinranking.com/B1N19L_dZ/bnb.svg,https://www.binance.com/,binance coin ?
45,46,salt,SALT,SALT,Token,N/A,N/A,https://cdn.coinranking.com/BkEvjH0ib/salt.svg,https://www.saltlending.com/,"Blockchain-backed loands. Hold your assets, get your cash."
46,47,golem-network-tokens,Golem,GNT,Token,N/A,N/A,https://cdn.coinranking.com/rkzb-Uuu-/gnt.svg,https://golem.network/,"Worldwide supercomputer. GOLEM IS THE NEW WAY THE INTERNET WILL WORK. Golem is a global, open sourced, decentralized supercomputer that anyone can access. It's made up of the combined power of user's machines, from personal laptops to entire datacenters."
47,48,digibyte,DigiByte,DGB,Coin,Multiple,PoW,https://cdn.coinranking.com/SyzuwIudW/dgb.svg,http://www.digibyte.io/,"DigiByte is a public, rapidly growing and highly decentralized blockchain. DigiBytes are digitalÿassets that cannot be destroyed, counterfeited or hacked, making them ideal forÿprotecting objects of value like currency, information, property or important digital data."
48,49,byteball,Byteball Bytes,GBYTE,Coin,N/A,N/A,https://cdn.coinranking.com/SJQXHLO_Z/gbyte.svg,https://byteball.org/,Smart payments made simple. 
49,50,bytom,Bytom,BTM,Coin,Scrypt,PoW,https://cdn.coinranking.com/HJX2LIdu-/btm.svg,http://bytom.io/,"Bytom is an interactive protocol of multiple byte assets. Heterogeneous byte-assets (indigenous digital currency, digital assets) that operate in different forms on the Bytom Blockchain and atomic assets (warrants, securities, dividends, bonds, intelligence information, forecasting information and other information that exist in the physical world) can be registered, exchanged, gambled and engaged in other more complicated and contract-based interoperations via Bytom."
50,51,vechain,VeChain,VET,Token,#N/A,#N/A,#N/A,#N/A,#N/A
51,52,power-ledger,Power Ledger,POWR,Token,N/A,N/A,https://cdn.coinranking.com/media/12318301/powr.png?width=46,https://powerledger.io/,WELCOME TO THE TOKEN GENERATION EVENT. Owned by the people of the world. 
52,53,walton,Walton,WTC,Token,N/A,N/A,https://cdn.coinranking.com/ry4WyCuAW/wtc.svg,http://www.waltonchain.org/,Blockchain + RFID. Integreationg blockchain with IOT.
53,54,factom,Factom,FCT,Coin,N/A,N/A,https://cdn.coinranking.com/SJkSWUdOZ/fct.svg,http://factom.org/,"A practical blockchain solution for those seeking a collaborative platform to preserve, ensure and validate digital assets."
54,55,vertcoin,Vertcoin,VTC,Coin,Lyra2RE,PoW,https://cdn.coinranking.com/H1W-WvO_-/vtc.svg,http://vertcoin.org/,Vertcoin is a decentralized currency owned by its users. The people's coin.
55,56,tenx,TenX,PAY,Token,N/A,N/A,https://cdn.coinranking.com/BJlaoBu_-/pay.svg,https://www.tenx.tech/,"Convert and spend virtual currencies. Anytime. Anywhere. The TenX wallet and card* have been tested by well-known figures in the industry with payments in 50 countries across the world. Available now on iOS, Android, and the web."
56,57,maidsafecoin,MaidSafeCoin,MAID,Token,N/A,N/A,https://cdn.coinranking.com/HJjQZLd_Z/maid.svg,http://maidsafe.net,"The World's First Autonomous Data Network. Blockchain based storage solutions that store a data identifier (e.g. hash) in a blockchain, but store the data 'somewhere else' do not improve the security of our data. That 'somewhere else' still needs to be secured, and if this data can be deleted, or our access denied these 'solutions' are not fit for purpose. The SAFE Network removes people from the management of our information to protect the world's data."
57,58,zcoin,ZCoin,XZC,Coin,Lyra2RE,PoW,https://cdn.coinranking.com/HkGDewuO-/xzc.svg,https://zcoin.io,"Zcoin is the first full implementation of the Zerocoin Protocol, which allows users to have complete privacy via Zero-Knowledge cryptographic proofs. It is worth noting that Zcoin is unrelated to other cryptocurrencies utilizing the Zerocash Protocol. Although Zerocash is a development from Zerocoin, their respective implementations are not simple forks of each other, but rely on different cryptographic assumptions with various tradeoffs. Both approaches supplement each other quite nicely, and a good way to describe them would be sibling projects."
58,59,aeternity,Aeternity,AE,Token,N/A,PoW/PoS,https://cdn.coinranking.com/HJg3pANTZ/ae.svg,https://www.aeternity.com/,"‘ternity is a new blockchain technology, designed to deliver unmatched efficiency, transparent governance and global scalability."
59,60,basic-attention-token,Basic Attention Token,BAT,Coin,N/A,N/A,https://cdn.coinranking.com/ByEwr8__W/dgd.svg,https://basicattentiontoken.org/,"Blockchain-based digital advertising. Basic Attention Token radically improves the efficiency of digital advertising by creating a new token that can be exchanged between publishers, advertisers, and users. It all happens on the Ethereum blockchain. "
60,61,kyber-network,Kyber Network,KNC,Coin,N/A,N/A,https://cdn.coinranking.com/Hywqh6d0Z/kcn.svg,https://kyber.network/,"KyberNetwork is a new system which allows the exchange and conversion of digital assets. 
We provide rich payment APIs and a new contract wallet that allow anyone to seamlessly receive payments from any token. "
61,62,qash,QASH,QASH,Token,N/A,N/A,https://cdn.coinranking.com/Hywqh6d0Z/kcn.svg,https://liquid.plus/,"The next Bitcoin or Ethereum for financial services. Providing LIQUIDITY to
the Non-Liquid Crypto Economy. LIQUIDITY, the lifeblood of every industry,
is the single most important element lacking
in the crypto economy today."
62,63,bitcoindark,BitcoinDark,BTCD,Coin,SHA256,PoW/PoS,https://cdn.coinranking.com/S10Nxvdub/san.svg,http://bitcoindark.com/,Paving the Way to Financial Inclusion for Everyone.
63,64,digixdao,DigixDAO,DGD,Token,N/A,N/A,https://cdn.coinranking.com/ByEwr8__W/dgd.svg,https://digix.io/,"The Gold Standard in Distributed Ledger Technology (DLT). Digix tokenizes gold on Ethereum. We leverage the Distributed Ledger for its immutability, transparency and auditability by applying it to precious physical assets.
Digix has created a range of technologies including The Proof of Asset Protocol (POA) and Digix Gold Tokens (DGX) on Ethereum."
64,65,syscoin,Syscoin,SYS,Coin,Scrypt,PoW,https://cdn.coinranking.com/r1MFdIddZ/btcd.svg,http://syscoin.org,"Syscoin is a global network, a distributed ledger, a decentralized database and a blockchain. It is also a cryptocurrency, an altcoin, a digital currency and a tradeable token.
Syscoin is based on a fork of the Bitcoin protocol and is merge-mined with Bitcoin, giving us one of the most secure, stable and scalable networks to ever exist on the planet."
65,66,gas,Gas,GAS,Token,N/A,N/A,https://cdn.coinranking.com/rJMSO8ddb/neo.svg,https://neo.org/,"NEO is a non-profit community-based blockchain project that utilizes blockchain technology and digital identity to digitize assets, to automate the management of digital assets using smart contracts, and to realize a ""smart economy"" with a distributed network."
66,67,gamecredits,GameCredits,GAME,Coin,Scrypt,PoW,https://cdn.coinranking.com/ByPxLI_db/game.svg,http://gamecredits.com,GameCredits is a universal currency and virtual wallet for 2.6 billion gamers worldwide.
67,68,0x,0x,ZRX,Token,N/A,N/A,https://cdn.coinranking.com/Hy7oqBSFW/zrx.svg,https://0xproject.com/,"0x is an open, permissionless protocol allowing for ERC20 tokens to be traded on the Ethereum blockchain."
68,69,einsteinium,Einsteinium,EMC2,Coin,Scrypt,PoW,https://cdn.coinranking.com/HJt_qIu_-/sys.svg,https://www.emc2.foundation/,Funding the future with the future of currency. The Einsteinium Foundation?s mission is to raise funds for scientific research. Our mining tax creates a pool of funds that provide grants to deserving applicants.
69,70,santiment,Santiment Network Token,SAN,Token,N/A,N/A,https://cdn.coinranking.com/S10Nxvdub/san.svg,https://santiment.net/,"A Better Way to Trade Crypto-Markets. Market Datafeeds, Newswires, and Crowd Sentiment Insights for the Blockchain World"
70,71,decentraland,Decentraland,MANA,Token,N/A,N/A,https://cdn.coinranking.com/rJEGUyvbf/mana.svg,https://decentraland.org/,"A virtual world that runs on open standards. Decentraland is a virtual reality platform powered by the Ethereum blockchain. Users can create, experience, and monetize content and applications. Decentraland is the first virtual platform owned by its users.
Grab a VR headset or use your web browser and become completely immersed in a 3D, interactive world"
71,72,gxshares,GXShares,GXS,Coin,#N/A,#N/A,https://cdn.coinranking.com/H1_JAANaW/gxs.svg,https://gxs.gxb.io/,Everyone needs data and credit services
72,73,aion,Aion,AION,Token,#N/A,#N/A,https://cdn.coinranking.com/HkLZ5Kpbf/aion.svg,https://aion.network/,The Third Generation Blockchain Network. 
73,74,bitbay,BitBay,BAY,Coin,N/A,PoS,https://cdn.coinranking.com/media/1383137/bay1.png?width=46,http://bitbay.market/,"The Future
of Free Markets. BitBay is the world's first fully-functional decentralized marketplace."
74,75,reddcoin,ReddCoin,RDD,Coin,Scrypt,PoW/PoS,https://cdn.coinranking.com/By1bgDdOb/rdd.svg,http://www.reddcoin.com/,Reddcoin is the social currency that enriches people?s social lives and makes digital currency easy for the general public.
75,76,funfair,FunFair,FUN,Token,N/A,N/A,https://cdn.coinranking.com/HyPKwU_uZ/fun.svg,https://funfair.io/,"Starting an online casino is complicated and expensive, and that?s before you try to attract players and earn their trust. Using blockchain technology to simplify setup and reduce costs, FunFair enables anyone, anywhere to run their own casino."
76,77,dragonchain,Dragonchain,DRGN,Token,#N/A,#N/A,https://cdn.coinranking.com/media/16746490/drgn.png?width=46,https://dragonchain.com/,"Blockchain business magic. Be a part of the most secure, flexible, and business ready blockchain platform,
and ecosystem."
77,78,iconomi,Iconomi,ICN,Coin,N/A,N/A,https://cdn.coinranking.com/HyHZhSd_b/icn.svg,https://www.iconomi.net/,The ICONOMI Digital Assets Management Platform is a new and unique technical service that allows anyone from beginners to blockchain experts to invest in and manage digital assets.
78,79,ethos,Ethos,ETHOS,Token,N/A,N/A,https://cdn.coinranking.com/S1IeLQnef/ethos.svg,https://www.ethos.io/,Ethos is pioneering a ?mobile-first? approach that will?create a bridge between the past and future of finance.
79,80,civic,Civic,CVC,Token,N/A,N/A,https://cdn.coinranking.com/ry7EHLuu-/cvc.svg,https://www.civic.com/,Civic secure identity ecosystem. We are giving businesses and individuals the tools to control and protect identities
80,81,cryptonex,Cryptonex,CNX,Coin,N/A,N/A,https://cdn.coinranking.com/ByPxLI_db/game.svg,https://cryptonex.org/,"A global blockchain acquiring.  Cryptonex is a global, decentralized new generation cryptocurrency. It is created on its own blockchain platform. The main goal is to offer the opportunity to exchange any world's currencies for any cryptocurrencies and tokens, buy goods and services using mobile phones and payment cards instantly, with minimum commission."
81,82,nexus,Nexus,NXS,Coin,SHA3,PoW/nPoS,https://cdn.coinranking.com/SkbAT0VaZ/nxs.svg,http://www.nexusearth.com/,"Nexus (NXS) is a cryptocurrency that does more than send money.As a byproduct of mining, it finds dense clusters of prime numbers.Follow the link below to learn more about Nexus Primes."
82,83,gnosis-gno,Gnosis,GNO,Token,N/A,N/A,https://cdn.coinranking.com/r16I7Lud-/gno.svg,https://gnosis.pm/,Gnosis is the easiest way to aggregate relevant information from both human and AI agents into one number
83,84,metal,Metal,MTL,Token,N/A,PoPP,https://cdn.coinranking.com/HJfUS8udb/mtl.svg,https://www.metalpay.com/,METAL (MTL) is our native currency. METAL is fairly distributed through a process known as: Proof of Processed Payments (PoPP). When you send money or make purchases you earn a little reward in METAL for every dollar you spend
84,85,monaco,Monaco,MCO,Token,N/A,N/A,https://cdn.coinranking.com/HkyxPIdO-/mco.svg,https://www.mona.co/,"Spend anywhere, without fees"
85,86,raiden-network-token,Raiden Network Token,RDN,Token,#N/A,#N/A,https://cdn.coinranking.com/SyuVgXngM/rdn.svg,https://raiden.network/,"The Raiden Network is an off-chain scaling solution, enabling near-instant, low-fee and scalable payments. It?s complementary to the Ethereum blockchain and works with any ERC20 compatible token. The Raiden project isÿwork in progress. Its goal is to research state channel technology, define protocols and develop reference implementations."
86,87,request-network,Request Network,REQ,Token,N/A,N/A,https://cdn.coinranking.com/BywMiFa-z/req.svg,https://request.network/,"A decentralized network built on top of Ethereum, which allows anyone, anywhere to request a payment."
87,88,time-new-bank,Time New Bank,TNB,Token,#N/A,#N/A,https://cdn.coinranking.com/media/16746672/tnb.png?width=46,https://delphy.org/,0
88,89,streamr-datacoin,Streamr DATAcoin,DATA,Token,N/A,N/A,https://cdn.coinranking.com/HJLwxxWJz/data.svg,https://www.streamr.com/,"Streamr provides a complete system to create unstoppable real-time data apps, even without writing code. Currently, the valuable data you produce is at the mercy of large corporations. In the Streamr network, it?s yours to use and sell as you wish, and travels through a decentralised peer-to-peer network controlled by no one and incentivized by the DATAcoin token."
89,90,bancor,Bancor,BNT,Token,N/A,N/A,https://cdn.coinranking.com/ryEqP8u_-/bnt.svg,https://bancor.network/,"Bancor is a Decentralized Liquidity Network that allows you to hold any Ethereum token and convert it to any other token in the network, with no counter party, at an automatically calculated price, using a simple web wallet."
90,91,chainlink,ChainLink,LINK,Token,N/A,N/A,#N/A,https://smartcontract.com/,"Connect Smart Contracts to your Apps & Data. Easily connect smart contracts to your web application, any API, and widely accepted USD payments."
91,92,storj,Storj,STORJ,Token,N/A,N/A,https://cdn.coinranking.com/r1KI_IduZ/storj.svg,https://storj.io/,"Blockchain-based, end-to-end encrypted, distributed object storage, where only you have access to your data."
92,93,blocknet,Blocknet,BLOCK,Coin,N/A,PoW/PoS,https://cdn.coinranking.com/r1pKhuvRW/block.svg,http://blocknet.co/,"The Blocknet is a revolutionary advancement in cryptographic technology: a true peer-to-peer protocol between nodes onÿdifferentÿblockchains. This is the foundation of a technology stack incorporating an API and an application platform, which enables open-ended application possibilities and vastly reduces development time."
93,94,groestlcoin,Groestlcoin,GRS,Coin,Groestl,PoW,https://cdn.coinranking.com/S1MGvOPCW/grs.svg,http://www.groestlcoin.org/,"A multipurpose cryptocurrency that has
Instant & Private transactions with subAtomic fees."
94,95,nav-coin,NAV Coin,NAV,Coin,X13,PoW/PoS,https://cdn.coinranking.com/media/351431/nav.png?width=46,http://www.navcoin.org/,"Nav Coin is a decentralized cryptocurrency built on top of the latest version of Bitcoin Core, with added features and functionality. Nav Coin was created to make online payments easy to do, at low cost, and all the while making sure to protect your privacy."
95,96,ubiq,Ubiq,UBQ,Coin,Dagger-Hashimoto,PoW,https://cdn.coinranking.com/SJgD58__W/ubq.svg,http://ubiqsmart.com/,Ubiq is a decentralized platform which allows the creation and implementation of smart contracts and decentralized applications.ÿ
96,97,paypie,PayPie,PPP,Token,#N/A,#N/A,https://cdn.coinranking.com/media/12318216/ppp.png?width=46,https://www.paypie.com/,Credit Risk Assessmenton Business Accounting. PayPie platform brings ultimate trust and transparency to the financial markets by introducing the world?s first risk score algorithm based on business accounting.
97,98,substratum,Substratum,SUB,Token,N/A,N/A,https://cdn.coinranking.com/ry9SeePbz/sub.svg,https://substratum.net/,"WE ARE THE FOUNDATION 
OF THE DECENTRALIZED WEB. Substratum is an open-source network that allows anyone to allocate spare computing resources to make the internet a free and fair place for the entire world."
98,99,asch,Asch,XAS,Coin,N/A,N/A,https://cdn.coinranking.com/media/1383997/xas.png?width=46,https://www.asch.io/,Next Generation Decentralized Application Platform
99,100,edgeless,Edgeless,EDG,Token,N/A,N/A,https://cdn.coinranking.com/HJ0AdUuO-/edg.svg,https://edgeless.io/,First Ethereum based casino. Experience fully transparent and 0% edge gambling online. 
100,101,ink,Ink,INK,Token,#N/A,#N/A,https://cdn.coinranking.com/H1y67zOzM/ink.svg,https://ink.one/,"CREATIVE MINDS DESERVE INK. The vision of Ink is to provide Sovereign Consortium Blockchains to different use cases, to build a blockchain based infrastructure for the Creative Industry where various applications were possible and correlate to each other in one system"
101,102,sonm,SONM,SNM,Token,N/A,N/A,https://cdn.coinranking.com/B1tFxPdd-/snm.svg,https://sonm.io/,"Supercomputer Organized 
by Network Mining. 
SONM's secure and cost-effective fog supercomputer is designed for general-purpose computing, from mobile app hosting to video rendering to DNA analysis. Miners all over the world can leverage their idle computer power to become part of the SONM network."
102,103,zencash,ZenCash,ZEN,Coin,Equihash,PoW,https://cdn.coinranking.com/rJyvvMAAZ/zen.svg,https://zensystem.io/,"The world's first private, distributed, and reliable platform for communications, transactions, and publishing."
103,104,kin,Kin,KIN,Token,#N/A,#N/A,https://cdn.coinranking.com/rJDpy02JM/kin.svg,https://kin.kik.com,0
104,105,adx-net,AdEx,ADX,Token,N/A,N/A,https://cdn.coinranking.com/ryAjnLwRZ/icon.svg,https://www.adex.network/,"AdEx is a blockchain-basedÿad exchangeÿaiming at disrupting the existing online advertising landscape and address its significant problems: advertising fraud, privacy and consent to receiving sponsored messages, etc."
105,106,hempcoin,HempCoin,THC,Coin,Scrypt,PoW/PoS,https://cdn.coinranking.com/media/350941/hmp.png?width=46,http://hempcoin.org/,0
106,107,metaverse,Metaverse ETP,ETP,Coin,Ethash,N/A,https://cdn.coinranking.com/ByRxGl-kf/etp.svg,https://mvs.org/,"Metaverse is a leading public blockchain based in China. Designed to facilitate low-cost, convenient transfer of digitized personal data and assets with unprecedented security and privacy"
107,108,peercoin,Peercoin,PPC,Coin,N/A,N/A,https://cdn.coinranking.com/BytuoI__W/ppc.svg,http://www.peercoin.net,"?Peercoin seeks to be the most secure cryptocoin at the lowest cost, rewarding all users for strengthening the network by giving them a 1% annual PPC return when minting."
108,109,agoras-tokens,Agoras Tokens,AGRS,Token,N/A,N/A,https://cdn.coinranking.com/media/1383839/agrs.png?width=46,http://www.idni.org/,"An intelligent market built upon Tau-Chain to feature intelligent personal agents, programming market, computational power market, and a futuristic search engine."
109,110,dent,Dent,DENT,Token,#N/A,#N/A,https://cdn.coinranking.com/media/1383613/dent.png?width=46,https://www.dentcoin.com/,0
110,111,rchain,RChain,RHOC,Token,#N/A,#N/A,https://cdn.coinranking.com/Hko33yvWG/rchain.svg,https://www.rchain.coop/," 

 

 

SCALABLE BLOCKCHAIN APPLICATIONS "
111,112,ripio-credit-network,Ripio Credit Network,RCN,Coin,N/A,PoW,https://cdn.coinranking.com/H1FeC7hkM/rcn.svg,https://ripiocredit.network/,A global peer-to-peer credit network based on co-signed smart contracts.
